ITEM,Consumo
09/05/2004,12963.6876548124
10/05/2004,15715.6976216198
11/05/2004,16325.0990662820
12/05/2004,16491.5581384961
13/05/2004,16502.5960565930
14/05/2004,16613.8030604103
15/05/2004,15250.6762022277
16/05/2004,13780.0270169408
17/05/2004,16490.4519729473
18/05/2004,16723.5551035731
19/05/2004,16645.5644948738
20/05/2004,16648.9524659536
21/05/2004,16105.9381407130
22/05/2004,14734.0842898541
23/05/2004,13427.2326208560
24/05/2004,16106.6290573848
25/05/2004,16366.2344831445
26/05/2004,16517.6737233846
27/05/2004,16672.9740074999
28/05/2004,16155.1647301718
29/05/2004,14453.9685298947
30/05/2004,13045.8901051833
31/05/2004,15708.7713726263
01/06/2004,15986.7723096155
02/06/2004,16311.1683323783
03/06/2004,16179.9161978077
04/06/2004,16345.5345184841
05/06/2004,14774.6544893432
06/06/2004,13199.3483981434
07/06/2004,15819.8602748489
08/06/2004,16211.4438546058
09/06/2004,16160.3087217723
10/06/2004,13672.0319397636
11/06/2004,15686.0256827354
12/06/2004,14752.1181838819
13/06/2004,13393.5693858827
14/06/2004,15802.1778853102
15/06/2004,16033.4161598223
16/06/2004,16120.4209578558
17/06/2004,16174.0836841599
18/06/2004,16051.2928921484
19/06/2004,14551.6729036103
20/06/2004,13217.6007223915
21/06/2004,15879.0990199041
22/06/2004,15952.5809420627
23/06/2004,16150.1151567980
24/06/2004,16549.2745794477
25/06/2004,16366.6577289746
26/06/2004,14801.2777837601
27/06/2004,13184.4685351243
28/06/2004,15902.4785208803
29/06/2004,16157.3022311122
30/06/2004,16138.5120073746
01/07/2004,16081.2475529567
02/07/2004,15942.0624119588
03/07/2004,14449.8243686842
04/07/2004,13261.8976005206
05/07/2004,15550.9410546433
06/07/2004,16065.8129549082
07/07/2004,16055.9615609406
08/07/2004,15817.0613221882
09/07/2004,15621.2178212858
10/07/2004,14317.5539270467
11/07/2004,13119.6762257846
12/07/2004,15723.8067076867
13/07/2004,16112.1639161420
14/07/2004,16243.5536886262
15/07/2004,16018.0435911814
16/07/2004,15667.9257035186
17/07/2004,14109.8959597223
18/07/2004,12416.2224969137
19/07/2004,14768.0346329103
